Feature	VariableImportance
TCF3_MA0522.2	0.000261220119940993
NRF1_MA0506.1	0.000256589888194309
MZF1_MA0056.1	0.000220741702455095
SP1_MA0079.2	0.000215225057892911
TCF4_MA0830.1	0.000215210651847406
SP1_MA0079.3	0.00019888950492866
ISX_MA0654.1	0.00016590102948585
FEV_MA0156.1	0.000158878675094068
MIXL1_MA0662.1	0.000148470911265825
LMX1B_MA0703.1	0.000134950356448575
PRRX1_MA0716.1	0.000133953363729599
ELK1_MA0028.1	0.000125292558033737
RAX2_MA0717.1	0.000124642265385559
CTCF_MA0139.1	0.000123787885638191
DLX6_MA0882.1	0.000120631998607806
SPIB_MA0081.1	0.000119292283951083
TFAP2C.var.2._MA0814.1	0.000106829304369888
UNCX_MA0721.1	0.000102727443732146
TFAP2A_MA0003.3	0.000102286965491853
SP3_MA0746.1	0.000101633829536139
NKX6.2_MA0675.1	9.93259398414572e-05
EN1_MA0027.2	9.84366374342305e-05
FOXC1_MA0032.1	9.70703106920625e-05
HOXB3_MA0903.1	9.69172733360637e-05
EHF_MA0598.1	9.42433718745683e-05
HOXB2_MA0902.1	9.24293257684006e-05
SNAI2_MA0745.1	9.20050344037047e-05
SHOX_MA0630.1	8.94244925434926e-05
SP2_MA0516.1	8.75791147885932e-05
SPI1_MA0080.2	8.39895530142967e-05
GATA3_MA0037.1	7.78412684890561e-05
ETV5_MA0765.1	7.76944161121236e-05
THAP1_MA0597.1	7.43115736353843e-05
E2F1_MA0024.2	7.38451022152145e-05
USF1_MA0093.1	6.77722732920301e-05
VAX1_MA0722.1	6.69232267711297e-05
KLF16_MA0741.1	6.64517656273982e-05
LHX9_MA0701.1	6.64491270493446e-05
ETS1_MA0098.3	6.61796605518621e-05
ELF5_MA0136.2	6.60270203597459e-05
PDX1_MA0132.2	6.52878346636134e-05
VAX2_MA0723.1	6.46331623123051e-05
ARNT..HIF1A_MA0259.1	6.35428527458215e-05
ETV6_MA0645.1	6.0935189808299e-05
ZEB1_MA0103.2	6.05404382340278e-05
LMX1A_MA0702.1	5.99010066525922e-05
BARX1_MA0875.1	5.55441384815842e-05
BSX_MA0876.1	5.52049817653142e-05
NFIX_MA0671.1	5.47203459949515e-05
GSX2_MA0893.1	5.46646750975659e-05
FIGLA_MA0820.1	5.40055582315373e-05
ZNF354C_MA0130.1	5.39951891463184e-05
RAX_MA0718.1	5.32624035950158e-05
VSX1_MA0725.1	5.08159886938671e-05
