Feature	VariableImportance
FOXO4_MA0848.1	0.000572561786661722
VAX2_MA0723.1	0.000571686200474078
E2F4_MA0470.1	0.000567575998039789
SP2_MA0516.1	0.000565420258294419
ARNT..HIF1A_MA0259.1	0.00055785613617319
HOXA5_MA0158.1	0.000554204668486797
GSX2_MA0893.1	0.000551304571779326
TEAD3_MA0808.1	0.000539363157056154
FIGLA_MA0820.1	0.000536828695406532
THAP1_MA0597.1	0.000530666168393021
USF1_MA0093.1	0.000512593276443532
ZNF354C_MA0130.1	0.000506713313688751
TFAP2A_MA0003.3	0.000488476547989818
GSX1_MA0892.1	0.000480592265937206
NFIC_MA0161.1	0.000469134923184544
ESX1_MA0644.1	0.00046416851880681
FOXO6_MA0849.1	0.000453456891181859
E2F6_MA0471.1	0.000440458227341114
MNX1_MA0707.1	0.000427145416252465
MSX1_MA0666.1	0.000424491326639183
VSX1_MA0725.1	0.000423582043246127
SP1_MA0079.1	0.000421881341711287
ZEB1_MA0103.2	0.000420744017358783
TBX15_MA0803.1	0.000416977623472161
FOXI1_MA0042.1	0.000415970569343403
TBX5_MA0807.1	0.000415478449439268
TBX1_MA0805.1	0.000405492022737258
SRY_MA0084.1	0.000403411229033642
HOXA2_MA0900.1	0.000392295138626599
NFATC2_MA0152.1	0.000389826567876713
TFAP2A.var.2._MA0810.1	0.000385091207904736
EMX1_MA0612.1	0.000381711964160934
ETV5_MA0765.1	0.000373215497046174
TBX4_MA0806.1	0.000372984061894906
OTX2_MA0712.1	0.000344145915058874
MGA_MA0801.1	0.000338825017388764
ELK4_MA0076.2	0.000334104304853408
SNAI2_MA0745.1	0.000333962361825728
HESX1_MA0894.1	0.000325530652245241
NKX2.8_MA0673.1	0.000315356400717863
NFIA_MA0670.1	0.000312417752007593
MSX2_MA0708.1	0.000307313254019701
FEV_MA0156.1	0.000304920604083414
NR4A2_MA0160.1	0.000300658953602589
GATA5_MA0766.1	0.000294969378437817
EHF_MA0598.1	0.000293492168602286
PITX3_MA0714.1	0.000288677416466286
NOTO_MA0710.1	0.00028008359568382
MEIS3_MA0775.1	0.000272434990101117
ISL2_MA0914.1	0.000271694594641795
LBX2_MA0699.1	0.00026470398350754
SPI1_MA0080.2	0.000263894659120756
MZF1.var.2._MA0057.1	0.000263458970644324
HIC2_MA0738.1	0.000261572269763157
LBX1_MA0618.1	0.000253909046983433
CDX1_MA0878.1	0.000253472140542628
CREB1_MA0018.2	0.000251507702725138
NKX2.3_MA0672.1	0.000248503220884443
MNT_MA0825.1	0.000248128396079603
NFE2L2_MA0150.1	0.000247241288248193
RAX_MA0718.1	0.000241424234539037
ALX3_MA0634.1	0.000240921377972691
LMX1A_MA0702.1	0.000239844503050183
EVX1_MA0887.1	0.000238395676007825
EVX2_MA0888.1	0.000225060389419323
FOXG1_MA0613.1	0.000211089036875212
GBX2_MA0890.1	0.000209828589616898
MEOX2_MA0706.1	0.000208419881045744
TFAP2B_MA0811.1	0.000207925515846519
MAX_MA0058.3	0.000206711772714928
